timestamp,time (s),force,position,strain
00:00:47.517,47.517,12,57264,90.60494958753438
00:00:47.821,47.821,20,57640,90.55912007332722
00:00:47.881,47.881,24,57707,90.55912007332722
00:00:48.185,48.185,50,58043,90.55912007332722
00:00:48.258,48.258,60,58122,90.55912007332722
00:00:48.569,48.569,134,58458,91.10907424381301
00:00:48.628,48.628,156,58525,91.10907424381301
00:00:48.952,48.952,347,58905,91.70485792850596
00:00:49.018,49.018,400,58987,91.70485792850596
00:00:49.329,49.329,519,59424,92.16315307057745
00:00:49.389,49.389,488,59521,92.16315307057745
00:00:49.700,49.7,205,60015,92.07149404216315
00:00:49.773,49.773,154,60130,92.07149404216315
00:00:50.077,50.077,42,60604,91.4757103574702
00:00:50.136,50.136,33,60694,91.4757103574702
00:00:50.441,50.441,13,61111,90.65077910174152
00:00:50.507,50.507,11,61198,90.65077910174152
00:00:50.818,50.818,16,61593,90.55912007332722
00:00:50.884,50.884,18,61673,90.55912007332722
00:00:51.221,51.221,42,62053,90.55912007332722
00:00:51.288,51.288,52,62125,90.55912007332722
00:00:51.585,51.585,109,62447,90.74243813015582
00:00:51.651,51.651,129,62519,90.74243813015582
00:00:51.969,51.969,289,62882,91.5673693858845
00:00:52.035,52.035,339,62962,91.5673693858845
00:00:52.346,52.346,530,63385,92.11732355637031
00:00:52.412,52.412,522,63483,92.11732355637031
00:00:52.723,52.723,261,63980,92.16315307057745
00:00:52.783,52.783,211,64075,92.16315307057745
00:00:53.087,53.087,59,64554,91.5673693858845
00:00:53.153,53.153,45,64655,91.5673693858845
00:00:53.464,53.464,16,65094,90.65077910174152
00:00:53.530,53.53,13,65184,90.65077910174152
00:00:53.868,53.868,14,65617,90.51329055912007
00:00:53.934,53.934,16,65698,90.51329055912007
00:00:54.231,54.231,34,66038,90.51329055912007
00:00:54.291,54.291,41,66102,90.51329055912007
00:00:54.602,54.602,91,66438,90.55912007332722
00:00:54.668,54.668,107,66509,90.55912007332722
00:00:54.972,54.972,235,66857,91.4757103574702
00:00:55.032,55.032,273,66927,91.4757103574702
00:00:55.376,55.376,519,67382,91.97983501374885
00:00:55.442,55.442,531,67476,91.97983501374885
00:00:55.760,55.76,304,67977,92.20898258478461
00:00:55.819,55.819,250,68072,92.20898258478461
00:00:56.123,56.123,73,68554,91.70485792850596
00:00:56.190,56.19,55,68656,91.70485792850596
00:00:56.507,56.507,16,69113,90.65077910174152
00:00:56.573,56.573,15,69203,90.65077910174152
00:00:56.917,56.917,14,69646,90.51329055912007
00:00:56.983,56.983,15,69729,90.51329055912007
00:00:57.301,57.301,33,70093,90.55912007332722
00:00:57.367,57.367,40,70165,90.55912007332722
00:00:57.685,57.685,90,70504,90.55912007332722
00:00:57.744,57.744,104,70568,90.55912007332722
00:00:58.082,58.082,243,70947,91.4757103574702
00:00:58.148,58.148,287,71027,91.4757103574702
00:00:58.485,58.485,523,71479,92.02566452795601
00:00:58.585,58.585,523,71625,92.02566452795601
00:00:58.935,58.935,226,72194,92.16315307057745
00:00:58.995,58.995,180,72291,92.16315307057745
00:00:59.345,59.345,39,72849,91.52153987167736
00:00:59.418,59.418,29,72947,91.52153987167736
00:00:59.729,59.729,12,73386,90.60494958753438
00:00:59.795,59.795,12,73473,90.60494958753438
00:01:00.099,60.099,16,73859,90.51329055912007
00:01:00.159,60.159,20,73931,90.51329055912007
00:01:00.463,60.463,44,74272,90.51329055912007
00:01:00.523,60.523,50,74337,90.51329055912007
00:01:00.847,60.847,116,74684,90.74243813015582
00:01:00.913,60.913,136,74757,90.74243813015582
00:01:01.237,61.237,308,75132,91.61319890009166
00:01:01.317,61.317,370,75231,91.61319890009166
00:01:01.687,61.687,507,75757,92.20898258478461
00:01:01.753,61.753,463,75870,92.20898258478461
00:01:02.111,62.111,146,76443,92.07149404216315
00:01:02.183,62.183,107,76562,92.07149404216315
00:01:02.488,62.488,30,77019,91.33822181484877
00:01:02.554,62.554,23,77116,91.33822181484877
00:01:02.878,62.878,11,77557,90.55912007332722
00:01:02.944,62.944,12,77643,90.55912007332722
00:01:03.255,63.255,21,78030,90.51329055912007
00:01:03.321,63.321,24,78105,90.51329055912007
00:01:03.626,63.626,55,78440,90.51329055912007
00:01:03.692,63.692,65,78510,90.51329055912007
00:01:03.996,63.996,141,78843,91.10907424381301
00:01:04.062,64.062,167,78917,91.10907424381301
00:01:04.387,64.387,372,79306,91.7506874427131
00:01:04.453,64.453,426,79395,91.7506874427131
00:01:04.810,64.81,469,79930,92.25481209899175
00:01:04.876,64.876,412,80035,92.25481209899175
00:01:05.214,65.214,125,80574,91.93400549954171
00:01:05.280,65.28,94,80681,91.93400549954171
00:01:05.591,65.591,26,81143,91.29239230064161
00:01:05.657,65.657,21,81239,91.29239230064161
00:01:05.968,65.968,12,81659,90.60494958753438
00:01:06.034,66.034,12,81744,90.60494958753438
00:01:06.338,66.338,21,82117,90.51329055912007
00:01:06.404,66.404,25,82191,90.51329055912007
00:01:06.748,66.748,63,82565,90.55912007332722
00:01:06.814,66.814,75,82635,90.55912007332722
00:01:07.132,67.132,165,82982,91.24656278643447
00:01:07.218,67.218,205,83081,91.24656278643447
00:01:07.602,67.602,482,83566,91.88817598533456
00:01:07.688,67.688,524,83688,91.88817598533456
00:01:07.992,67.992,372,84167,92.25481209899175
00:01:08.065,68.065,294,84282,92.25481209899175
00:01:08.422,68.422,70,84854,91.79651695692026
00:01:08.488,68.488,52,84958,91.79651695692026
00:01:08.819,68.819,15,85430,90.65077910174152
00:01:08.892,68.892,13,85529,90.65077910174152
00:01:09.209,69.209,13,85941,90.60494958753438
00:01:09.275,69.275,15,86024,90.60494958753438
00:01:09.586,69.586,34,86381,90.55912007332722
00:01:09.652,69.652,40,86453,90.55912007332722
00:01:09.983,69.983,95,86808,90.60494958753438
00:01:10.056,70.056,114,86886,90.60494958753438
00:01:10.374,70.374,253,87247,91.5673693858845
00:01:10.440,70.44,299,87329,91.5673693858845
00:01:10.757,70.757,523,87760,92.11732355637031
00:01:10.837,70.837,528,87877,92.11732355637031
00:01:11.174,71.174,253,88422,92.20898258478461
00:01:11.247,71.247,193,88539,92.20898258478461
00:01:11.564,71.564,50,89043,91.5673693858845
00:01:11.631,71.631,37,89145,91.5673693858845
00:01:11.968,71.968,13,89617,90.69660861594868
00:01:12.041,72.041,12,89712,90.69660861594868
00:01:12.372,72.372,17,90136,90.55912007332722
00:01:12.438,72.438,20,90215,90.55912007332722
00:01:12.755,72.755,45,90567,90.55912007332722
00:01:12.815,72.815,52,90631,90.55912007332722
00:01:13.126,73.126,116,90965,90.74243813015582
00:01:13.192,73.19200000000001,138,91039,90.74243813015582
00:01:13.516,73.516,313,91421,91.6590284142988
00:01:13.582,73.582,365,91504,91.6590284142988
00:01:13.926,73.926,520,91991,92.20898258478461
00:01:13.992,73.992,484,92106,92.20898258478461
00:01:14.343,74.343,167,92667,92.11732355637031
00:01:14.409,74.409,128,92774,92.11732355637031
00:01:14.760,74.76,28,93309,91.52153987167736
00:01:14.826,74.826,22,93406,91.52153987167736
