timestamp,time (s),force,position,strain
00:05:40.219,340.219,518,1961,26.359832635983267
00:05:40.471,340.471,519,1961,26.359832635983267
00:05:40.722,340.722,518,1961,26.359832635983267
00:05:40.967,340.967,518,1961,26.359832635983267
00:05:41.218,341.218,519,1961,26.359832635983267
00:05:41.470,341.47,519,1961,26.359832635983267
00:05:41.734,341.734,519,1961,26.359832635983267
00:05:41.986,341.986,518,1961,26.359832635983267
00:05:42.237,342.237,518,1961,26.359832635983267
00:05:42.489,342.489,518,1961,26.359832635983267
00:05:42.747,342.747,518,1961,26.359832635983267
00:05:42.991,342.991,519,1961,26.359832635983267
00:05:43.249,343.249,518,1961,26.359832635983267
00:05:43.501,343.501,518,1961,26.359832635983267
00:05:43.759,343.759,518,1961,26.359832635983267
00:05:44.010,344.01,518,1961,26.359832635983267
00:05:44.268,344.26800000000003,519,1961,26.359832635983267
00:05:44.526,344.526,518,1961,26.359832635983267
00:05:44.784,344.784,518,1961,26.359832635983267
00:05:45.049,345.049,518,1961,26.359832635983267
00:05:45.307,345.307,518,1961,26.359832635983267
00:05:45.559,345.55899999999997,518,1961,26.359832635983267
00:05:45.830,345.83,518,1961,26.359832635983267
00:05:46.094,346.094,518,1961,26.359832635983267
00:05:46.366,346.366,518,1961,26.359832635983267
00:05:46.624,346.624,518,1961,26.359832635983267
00:05:46.882,346.882,519,1961,26.359832635983267
00:05:47.140,347.14,518,1961,26.359832635983267
00:05:47.391,347.391,518,1961,26.359832635983267
00:05:47.649,347.649,517,1961,26.359832635983267
00:05:47.901,347.901,519,1961,26.359832635983267
00:05:48.159,348.159,518,1961,26.359832635983267
00:05:48.417,348.41700000000003,518,1961,26.359832635983267
00:05:48.668,348.668,518,1961,26.359832635983267
00:05:48.926,348.926,519,1961,26.359832635983267
00:05:49.178,349.178,518,1961,26.359832635983267
00:05:49.436,349.436,519,1961,26.359832635983267
00:05:49.694,349.694,518,1961,26.359832635983267
00:05:49.952,349.952,518,1961,26.359832635983267
00:05:50.203,350.203,518,1961,26.359832635983267
00:05:50.468,350.468,518,1961,26.359832635983267
00:05:50.733,350.733,518,1961,26.359832635983267
00:05:50.991,350.991,518,1961,26.359832635983267
00:05:51.249,351.249,518,1961,26.359832635983267
00:05:51.500,351.5,519,1961,26.778242677824267
00:05:51.752,351.752,519,1961,26.778242677824267
00:05:52.010,352.01,519,1961,26.778242677824267
00:05:52.268,352.26800000000003,518,1961,26.778242677824267
00:05:52.519,352.519,518,1961,26.778242677824267
00:05:52.771,352.771,518,1961,26.778242677824267
00:05:53.035,353.03499999999997,519,1961,26.778242677824267
00:05:53.287,353.287,518,1961,26.778242677824267
00:05:53.545,353.545,518,1961,26.778242677824267
00:05:53.803,353.803,518,1961,26.778242677824267
00:05:54.054,354.054,518,1961,26.778242677824267
00:05:54.312,354.312,519,1961,26.778242677824267
00:05:54.570,354.57,518,1961,26.778242677824267
00:05:54.842,354.842,518,1961,26.778242677824267
00:05:55.100,355.1,518,1961,26.778242677824267
00:05:55.364,355.364,519,1961,26.778242677824267
00:05:55.622,355.622,518,1961,26.778242677824267
00:05:55.881,355.881,518,1961,26.778242677824267
00:05:56.139,356.139,519,1961,26.778242677824267
00:05:56.390,356.39,518,1961,26.778242677824267
00:05:56.641,356.641,517,1961,26.778242677824267
00:05:56.893,356.89300000000003,518,1961,26.778242677824267
00:05:57.151,357.151,518,1961,26.778242677824267
00:05:57.402,357.402,518,1961,26.778242677824267
00:05:57.660,357.65999999999997,519,1961,26.778242677824267
00:05:57.912,357.912,519,1961,26.778242677824267
00:05:58.163,358.163,518,1961,26.778242677824267
00:05:58.415,358.415,519,1961,26.778242677824267
00:05:58.666,358.666,519,1961,26.778242677824267
00:05:58.918,358.918,519,1961,26.778242677824267
00:05:59.182,359.182,519,1961,26.778242677824267
00:05:59.447,359.447,519,1961,26.778242677824267
00:05:59.698,359.698,518,1961,26.778242677824267
00:05:59.956,359.956,518,1961,26.778242677824267
00:06:00.214,360.214,519,1961,26.778242677824267
00:06:00.466,360.466,518,1961,26.778242677824267
00:06:00.724,360.724,518,1961,26.778242677824267
00:06:00.975,360.975,519,1961,26.778242677824267
00:06:01.233,361.233,519,1961,26.778242677824267
00:06:01.498,361.498,518,1961,26.778242677824267
00:06:01.763,361.763,519,1961,26.359832635983267
00:06:02.021,362.021,519,1961,26.359832635983267
00:06:02.279,362.279,518,1961,26.778242677824267
00:06:02.537,362.537,519,1961,26.778242677824267
00:06:02.788,362.788,519,1961,26.359832635983267
00:06:03.040,363.04,519,1961,26.778242677824267
00:06:03.291,363.291,519,1961,26.359832635983267
00:06:03.549,363.549,518,1961,26.778242677824267
00:06:03.807,363.807,518,1961,26.359832635983267
00:06:04.065,364.065,519,1961,26.359832635983267
00:06:04.317,364.317,518,1961,26.778242677824267
00:06:04.561,364.561,518,1961,26.359832635983267
00:06:04.806,364.806,518,1961,26.359832635983267
00:06:05.051,365.051,519,1961,26.359832635983267
00:06:05.302,365.302,519,1961,26.359832635983267
00:06:05.547,365.547,519,1961,26.359832635983267
00:06:05.792,365.792,519,1961,26.359832635983267
